ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
9342,1043094,Active,104657,3HR Com Mon-Fri 1000-1400 /2HR Pas Mon-Fri 1900-2200 /2HR Pas Sat 0900-2200,,On Street,Manhattan,2 Avenue,W,East 11 Street,East 10 Street,40.73014188,-73.98666476,987945.9342,205287.2256,POINT (-73.986664761466 40.730141880958)
1659,3091499,Active,302920,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,5 Avenue,E,78 Street,77 Street,40.62759426,-74.02332948,977774.1566,167926.7538,POINT (-74.023329481286 40.627594263641)
1617,3051315,Active,304924,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Kings Highway,N,East 7 Street,Ocean Parkway,40.60604317,-73.96604725,993677.7151,160076.0897,POINT (-73.966047247573 40.606043169975)
6613,2293023,Active,211461,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,East 233 Street,N,Merritt Avenue,Dyre Avenue,40.88926489,-73.83109414,1030951.368,263306.1555,POINT (-73.831094135052 40.889264893465)
11267,1433913,Inactive,106763,3HR Com Mon-Sat 0800-2400,,On Street,Manhattan,East 60 Street,S,3 Avenue,Lexington Avenue,40.76268364,-73.96745656,993265.1877,217144.6232,POINT (-73.967456558775 40.76268363732)
3360,4013042,Active,411877,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,40 Street,W,43 Avenue,Queens Boulevard,40.74417091,-73.92424715,1005240.894,210407.2393,POINT (-73.924247146896 40.74417091213)
2519,4173096,Active,465697,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,97 Street,E,63 Drive,63 Road,40.73076816,-73.86069098,1022859.878,205545.818,POINT (-73.860690976347 40.730768158092)
4739,3123096,Active,310246,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,8 Avenue,E,50 Street,49 Street,40.64141749,-74.0032872,983337.722,172962.0826,POINT (-74.003287198457 40.641417491751)
7575,3123064,Retired,338536,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,4 Avenue,E,46 Street,45 Street,40.64901828,-74.00972629,981551.0251,175731.392,POINT (-74.009726285787 40.64901828466)
8312,1043008,Active,103636,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,2 Avenue,E,East 17 Street,East 15 Street,40.73393314,-73.98366966,988775.7846,206668.6422,POINT (-73.983669663041 40.733933144611)
129,1228479,Active,111800,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Broadway,W,West 149 Street,West 148 Street,40.82871955,-73.94898876,998367.1296,241206.2368,POINT (-73.948988755277 40.828719552016)
8357,1433717,Active,106893,3HR Com Mon-Fri 0700-1500 /3HR Com Sat 0700-1900,,On Street,Manhattan,3 Avenue,W,East 55 Street,East 56 Street,40.75927527,-73.96838642,993008.0461,215902.7507,POINT (-73.968386418024 40.759275274738)
12999,4423121,Active,439485,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Horace Harding Expressway South,S,186 Street,188 Street,40.7404336,-73.78705442,1043259.857,209108.2682,POINT (-73.787054422005 40.740433604021)
1612,3051320,Active,305473,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,Kings Highway,S,East 10 Street,Coney Island Avenue,40.60710767,-73.96241179,994687.0109,160464.3254,POINT (-73.962411793459 40.607107666459)
9129,1483086,Retired,100079,"Rate NOT Available - Please request a NEW PERSO, and Once it is Ready, Please Create a New Report",,On Street,Manhattan,William Street,E,John Street,Fulton Street,40.70876346,-74.00717629,982260.4134,197498.21,POINT (-74.007176291872 40.708763456427)
2449,4413116,Active,466754,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Corona Avenue,S,93 Street,94 Street,40.74232372,-73.87075438,1020064.567,209751.5943,POINT (-73.870754384095 40.742323722441)
8496,1473008,Active,106939,3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200,,On Street,Manhattan,Broadway,E,East 12 Street,East 10 Street,40.7324449,-73.99119975,986688.9534,206126.1301,POINT (-73.991199748637 40.732444904064)
